ano,parto,regiao,uf,grupo,criticidade,records
2014,CESARIANO,Nordeste,AL,3,2,130
2019,NORMAL,Norte,AM,4,1,130
2010,CESARIANO,Norte,TO,4,2,129
2011,NORMAL,Nordeste,SE,5,2,129
2013,NORMAL,Sul,PR,5,2,129
2015,CESARIANO,Nordeste,RN,3,2,129
2017,CESARIANO,Sudeste,ES,5,2,129
2019,CESARIANO,Norte,PA,2,2,129
2010,CESARIANO,Centro-Oeste,GO,2,1,128
2014,NORMAL,Centro-Oeste,GO,1,1,128
2014,NORMAL,Sudeste,ES,3,2,128
2019,CESARIANO,Nordeste,PB,3,2,128
2012,NORMAL,Sudeste,RJ,3,2,127
2013,NORMAL,Sudeste,RJ,3,2,127
2014,CESARIANO,Centro-Oeste,GO,1,0,127
2016,NORMAL,Nordeste,MA,4,2,127
2017,CESARIANO,Norte,AP,1,0,127
2019,CESARIANO,Centro-Oeste,GO,4,1,127
2011,CESARIANO,Sudeste,ES,5,2,126
2014,CESARIANO,Sudeste,MG,4,2,126
2015,NORMAL,Nordeste,MA,2,2,126
2017,NORMAL,Sudeste,MG,4,2,126
2010,CESARIANO,Nordeste,AL,3,2,125
2015,CESARIANO,Nordeste,BA,5,2,125
2016,NORMAL,Nordeste,AL,3,2,125
2012,CESARIANO,Centro-Oeste,MS,3,1,124
2012,NORMAL,Norte,RR,1,0,124
2010,CESARIANO,Norte,TO,3,2,123
2011,NORMAL,Sudeste,MG,4,2,123
2012,CESARIANO,Nordeste,PB,3,2,123
2012,NORMAL,Norte,AP,1,2,123
2011,CESARIANO,Centro-Oeste,MS,2,1,122
2011,CESARIANO,Norte,RO,3,1,122
2015,NORMAL,Centro-Oeste,MS,3,2,122
2018,NORMAL,Norte,AM,4,1,122
2011,CESARIANO,Nordeste,RN,3,2,121
2011,NORMAL,Sudeste,RJ,3,2,121
2013,NORMAL,Sudeste,MG,4,2,121
2014,CESARIANO,Sul,PR,5,2,121
2014,NORMAL,Nordeste,SE,5,2,121
2011,NORMAL,Sudeste,ES,5,2,120
2012,CESARIANO,Centro-Oeste,MS,3,2,120
2013,CESARIANO,Norte,AM,4,1,120
2013,CESARIANO,Sudeste,ES,0,2,120
2014,NORMAL,Sudeste,ES,0,2,120
2016,CESARIANO,Nordeste,PB,3,2,120
2018,CESARIANO,Nordeste,RN,3,2,120
2018,NORMAL,Sudeste,MG,4,2,120
2011,CESARIANO,Centro-Oeste,MS,3,1,119
2016,NORMAL,Nordeste,PB,3,2,119
2012,CESARIANO,Centro-Oeste,MS,2,1,118
2013,CESARIANO,Norte,RO,2,2,118
2016,NORMAL,Sudeste,MG,4,2,118
2019,CESARIANO,Nordeste,BA,5,2,118
