ano,parto,regiao,uf,grupo,criticidade,records
2011,CESARIANO,Sudeste,RJ,3,2,51
2011,NORMAL,Sul,PR,1,1,51
2012,CESARIANO,Norte,PA,2,2,51
2014,CESARIANO,Centro-Oeste,GO,1,2,51
2016,CESARIANO,Centro-Oeste,GO,4,2,51
2017,CESARIANO,Norte,AP,1,2,51
2019,NORMAL,Norte,RO,3,2,51
2010,NORMAL,Norte,RO,1,2,50
2011,NORMAL,Centro-Oeste,MT,1,2,50
2011,NORMAL,Sudeste,ES,3,2,50
2012,CESARIANO,Sudeste,RJ,5,2,50
2013,NORMAL,Norte,RO,3,2,50
2016,CESARIANO,Norte,AC,1,2,50
2016,NORMAL,Nordeste,CE,3,2,50
2017,NORMAL,Norte,RO,2,2,50
2018,CESARIANO,Sul,PR,1,2,50
2018,NORMAL,Nordeste,CE,3,2,50
2018,NORMAL,Norte,RO,1,2,50
2019,CESARIANO,Sul,PR,1,2,50
2010,CESARIANO,Nordeste,PE,3,1,49
2011,NORMAL,Nordeste,MA,2,2,49
2013,CESARIANO,Norte,AC,1,2,49
2015,NORMAL,Centro-Oeste,GO,4,2,49
2016,CESARIANO,Nordeste,RN,5,2,49
2017,NORMAL,Nordeste,RN,5,2,49
2018,CESARIANO,Norte,RO,3,2,49
2010,CESARIANO,Centro-Oeste,GO,1,1,48
2010,NORMAL,Sudeste,ES,3,2,48
2011,CESARIANO,Centro-Oeste,GO,4,1,48
2013,NORMAL,Centro-Oeste,GO,4,2,48
2016,NORMAL,Centro-Oeste,GO,1,2,48
