UF,Município,Cód IBGE,Cód Região de Saúde,Nome da Região de Saúde,Grupo
PI,Wall Ferraz,221170,22009,Vale do Rio Guaribas,1
PR,Abatiá,410010,41018,18ª RS Cornélio Procópio,3
PR,Adrianópolis,410020,41002,2ª RS Metropolitana,5
PR,Agudos do Sul,410030,41002,2ª RS Metropolitana,5
PR,Almirante Tamandaré,410040,41002,2ª RS Metropolitana,5
PR,Altamira do Paraná,410045,41011,11ª RS Campo Mourão,3
PR,Altônia,410050,41012,12ª RS Umuarama,3
PR,Alto Paraíso,412862,41012,12ª RS Umuarama,3
PR,Alto Paraná,410060,41014,14ª RS Paranavaí,3
PR,Alto Piquiri,410070,41012,12ª RS Umuarama,3
PR,Alvorada do Sul,410080,41017,17ª RS Londrina,5
PR,Amaporã,410090,41014,14ª RS Paranavaí,3
PR,Ampére,410100,41008,8ª RS Francisco Beltrão,3
PR,Anahy,410105,41010,10ª RS Cascavel,3
PR,Andirá,410110,41018,18ª RS Cornélio Procópio,3
PR,Ângulo,410115,41015,15ª RS Maringá,5
PR,Antonina,410120,41001,1ª RS Paranaguá,3
PR,Antônio Olinto,410130,41006,6ª RS União da Vitória,3
