UF,Município,Cód IBGE,Cód Região de Saúde,Nome da Região de Saúde,Grupo
RN,Carnaúba dos Dantas,240240,24004,4ª Região de Saúde - Caicó,1
RN,Carnaubais,240250,24008,8ª Região de Saúde - Açu,1
RN,Ceará-Mirim,240260,24003,3ª Região de Saúde - João Câmara,1
RN,Cerro Corá,240270,24004,4ª Região de Saúde - Caicó,1
RN,Coronel Ezequiel,240280,24005,5ª Região de Saúde - Santa Cruz,1
RN,Coronel João Pessoa,240290,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Cruzeta,240300,24004,4ª Região de Saúde - Caicó,1
RN,Currais Novos,240310,24004,4ª Região de Saúde - Caicó,1
RN,Doutor Severiano,240320,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Encanto,240330,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Equador,240340,24004,4ª Região de Saúde - Caicó,1
RN,Espírito Santo,240350,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Extremoz,240360,24007,7ª Região de Saúde - Metropolitana,5
RN,Felipe Guerra,240370,24002,2ª Região de Saúde - Mossoró,3
RN,Fernando Pedroza,240375,24008,8ª Região de Saúde - Açu,1
RN,Florânia,240380,24004,4ª Região de Saúde - Caicó,1
RN,Francisco Dantas,240390,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Frutuoso Gomes,240400,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Galinhos,240410,24003,3ª Região de Saúde - João Câmara,1
RN,Goianinha,240420,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Governador Dix-Sept Rosado,240430,24002,2ª Região de Saúde - Mossoró,3
RN,Grossos,240440,24002,2ª Região de Saúde - Mossoró,3
RN,Guamaré,240450,24003,3ª Região de Saúde - João Câmara,1
RN,Ielmo Marinho,240460,24003,3ª Região de Saúde - João Câmara,1
RN,Ipanguaçu,240470,24008,8ª Região de Saúde - Açu,1
RN,Ipueira,240480,24004,4ª Região de Saúde - Caicó,1
RN,Itajá,240485,24008,8ª Região de Saúde - Açu,1
RN,Itaú,240490,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Jaçanã,240500,24005,5ª Região de Saúde - Santa Cruz,1
RN,Jandaíra,240510,24003,3ª Região de Saúde - João Câmara,1
RN,Janduís,240520,24002,2ª Região de Saúde - Mossoró,3
RN,Japi,240540,24005,5ª Região de Saúde - Santa Cruz,1
RN,Jardim de Angicos,240550,24003,3ª Região de Saúde - João Câmara,1
RN,Jardim de Piranhas,240560,24004,4ª Região de Saúde - Caicó,1
RN,Jardim do Seridó,240570,24004,4ª Região de Saúde - Caicó,1
RN,João Câmara,240580,24003,3ª Região de Saúde - João Câmara,1
RN,João Dias,240590,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,José da Penha,240600,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Jucurutu,240610,24004,4ª Região de Saúde - Caicó,1
RN,Jundiá,240615,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Lagoa d'Anta,240620,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Lagoa de Pedras,240630,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Lagoa de Velhos,240640,24005,5ª Região de Saúde - Santa Cruz,1
RN,Lagoa Nova,240650,24004,4ª Região de Saúde - Caicó,1
RN,Lagoa Salgada,240660,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Lajes,240670,24003,3ª Região de Saúde - João Câmara,1
RN,Lajes Pintadas,240680,24005,5ª Região de Saúde - Santa Cruz,1
RN,Lucrécia,240690,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Luís Gomes,240700,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Macaíba,240710,24007,7ª Região de Saúde - Metropolitana,5
RN,Macau,240720,24003,3ª Região de Saúde - João Câmara,1
RN,Major Sales,240725,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Marcelino Vieira,240730,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Martins,240740,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Maxaranguape,240750,24003,3ª Região de Saúde - João Câmara,1
RN,Messias Targino,240760,24002,2ª Região de Saúde - Mossoró,3
RN,Montanhas,240770,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Monte Alegre,240780,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Monte das Gameleiras,240790,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Mossoró,240800,24002,2ª Região de Saúde - Mossoró,3
RN,Natal,240810,24007,7ª Região de Saúde - Metropolitana,5
RN,Nísia Floresta,240820,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Nova Cruz,240830,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Olho-d'Água do Borges,240840,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Ouro Branco,240850,24004,4ª Região de Saúde - Caicó,1
RN,Paraná,240860,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Paraú,240870,24008,8ª Região de Saúde - Açu,1
RN,Parazinho,240880,24003,3ª Região de Saúde - João Câmara,1
RN,Parelhas,240890,24004,4ª Região de Saúde - Caicó,1
RN,Parnamirim,240325,24007,7ª Região de Saúde - Metropolitana,5
RN,Passa e Fica,240910,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Passagem,240920,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Patu,240930,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Pau dos Ferros,240940,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Pedra Grande,240950,24003,3ª Região de Saúde - João Câmara,1
RN,Pedra Preta,240960,24003,3ª Região de Saúde - João Câmara,1
RN,Pedro Avelino,240970,24003,3ª Região de Saúde - João Câmara,1
RN,Pedro Velho,240980,24001,1ª Região de Saúde - São José de Mipibu,1
RN,Pendências,240990,24008,8ª Região de Saúde - Açu,1
RN,Pilões,241000,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Poço Branco,241010,24003,3ª Região de Saúde - João Câmara,1
RN,Portalegre,241020,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Porto do Mangue,241025,24008,8ª Região de Saúde - Açu,1
RN,Pureza,241040,24003,3ª Região de Saúde - João Câmara,1
RN,Rafael Fernandes,241050,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Rafael Godeiro,241060,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Riacho da Cruz,241070,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Riacho de Santana,241080,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Riachuelo,241090,24003,3ª Região de Saúde - João Câmara,1
RN,Rio do Fogo,240895,24003,3ª Região de Saúde - João Câmara,1
RN,Rodolfo Fernandes,241100,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,Ruy Barbosa,241110,24005,5ª Região de Saúde - Santa Cruz,1
RN,Santa Cruz,241120,24005,5ª Região de Saúde - Santa Cruz,1
RN,Santa Maria,240933,24005,5ª Região de Saúde - Santa Cruz,1
RN,Santana do Matos,241140,24004,4ª Região de Saúde - Caicó,1
RN,Santana do Seridó,241142,24004,4ª Região de Saúde - Caicó,1
RN,Santo Antônio,241150,24001,1ª Região de Saúde - São José de Mipibu,1
RN,São Bento do Norte,241160,24003,3ª Região de Saúde - João Câmara,1
RN,São Bento do Trairí,241170,24005,5ª Região de Saúde - Santa Cruz,1
RN,São Fernando,241180,24004,4ª Região de Saúde - Caicó,1
RN,São Francisco do Oeste,241190,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,São Gonçalo do Amarante,241200,24007,7ª Região de Saúde - Metropolitana,5
RN,São João do Sabugi,241210,24004,4ª Região de Saúde - Caicó,1
RN,São José de Mipibu,241220,24001,1ª Região de Saúde - São José de Mipibu,1
RN,São José do Campestre,241230,24005,5ª Região de Saúde - Santa Cruz,1
RN,São José do Seridó,241240,24004,4ª Região de Saúde - Caicó,1
RN,São Miguel,241250,24006,6ª Região de Saúde - Pau dos Ferros,1
RN,São Miguel do Gostoso,241255,24003,3ª Região de Saúde - João Câmara,1
RN,São Paulo do Potengi,241260,24005,5ª Região de Saúde - Santa Cruz,1
