parto,value,records
NORMAL,Sudeste,3663331
NORMAL,Nordeste,3536386
CESARIANO,Sudeste,2179678
CESARIANO,Nordeste,2049839
NORMAL,Norte,1339431
NORMAL,Sul,1274353
CESARIANO,Sul,915659
CESARIANO,Norte,799073
NORMAL,Centro-Oeste,597222
CESARIANO,Centro-Oeste,461788
