parto,value,records
NORMAL,2010,1162629
NORMAL,2011,1118756
NORMAL,2015,1067615
NORMAL,2012,1051265
NORMAL,2014,1038947
NORMAL,2013,1027429
NORMAL,2017,1003280
NORMAL,2016,998434
NORMAL,2018,989340
NORMAL,2019,953028
CESARIANO,2019,684801
CESARIANO,2018,672793
CESARIANO,2014,655073
CESARIANO,2017,647217
CESARIANO,2013,635389
CESARIANO,2015,634789
CESARIANO,2012,630864
CESARIANO,2011,626025
CESARIANO,2016,611244
CESARIANO,2010,607842
