parto,value,records
NORMAL,1,3344938
NORMAL,5,3303163
CESARIANO,1,1939862
CESARIANO,5,1774765
NORMAL,3,1666696
CESARIANO,3,1362050
NORMAL,4,1141700
NORMAL,2,751784
CESARIANO,4,746832
CESARIANO,2,439058
NORMAL,0,202442
CESARIANO,0,143470
