parto,value,records
NORMAL,Amarela,4531095
NORMAL,None,3041962
CESARIANO,Amarela,2577055
NORMAL,Branca,2288720
CESARIANO,None,1766379
CESARIANO,Branca,1765445
NORMAL,Preta,358691
CESARIANO,Preta,201118
NORMAL,Parda,137949
CESARIANO,Parda,83016
NORMAL,Indígena,52306
CESARIANO,Indígena,13024
