database,variavel,type,label,records
sih,CNES,group,2017717,2962
sih,CNES,group,2017768,1962
sih,CNES,group,2017911,17
sih,CNES,group,2017997,368
sih,CNES,group,2018098,317
sih,CNES,group,2018128,3114
sih,CNES,group,2018136,14569
sih,CNES,group,2018144,11041
sih,CNES,group,2018152,986
sih,CNES,group,2018381,1931
sih,CNES,group,2019523,3052
sih,CNES,group,2019558,39409
sih,CNES,group,2019566,12382
sih,CNES,group,2019604,1223
sih,CNES,group,2019671,90
sih,CNES,group,2019701,741
sih,CNES,group,2019728,1120
sih,CNES,group,2019736,1039
sih,CNES,group,2020068,59636
sih,CNES,group,2020076,10574
sih,CNES,group,2020165,31
sih,CNES,group,2020890,27068
sih,CNES,group,2021064,23678
sih,CNES,group,2021218,244
sih,CNES,group,2021382,10
sih,CNES,group,2021463,2889
sih,CNES,group,2022621,28261
sih,CNES,group,2023016,2821
sih,CNES,group,2023474,5866
sih,CNES,group,2023644,2771
sih,CNES,group,2023709,8183
sih,CNES,group,2023865,51
sih,CNES,group,2024438,800
sih,CNES,group,2024691,8908
sih,CNES,group,2024756,5970
sih,CNES,group,2024772,1104
sih,CNES,group,2025477,4418
sih,CNES,group,2025507,172
sih,CNES,group,2025523,3770
sih,CNES,group,2025752,14126
sih,CNES,group,2026392,81
sih,CNES,group,2026805,4136
sih,CNES,group,2027186,7855
sih,CNES,group,2027356,39294
sih,CNES,group,2028204,2333
sih,CNES,group,2028239,1073
sih,CNES,group,2040069,38427
sih,CNES,group,2053500,382
sih,CNES,group,2053519,1174
sih,CNES,group,2058243,283
sih,CNES,group,2058308,2736
sih,CNES,group,2058340,2
sih,CNES,group,2058790,11225
sih,CNES,group,2065665,22049
sih,CNES,group,2066092,20739
sih,CNES,group,2069776,8
sih,CNES,group,2072033,175
sih,CNES,group,2072513,756
sih,CNES,group,2075717,11999
sih,CNES,group,2075962,18712
sih,CNES,group,2076896,24217
sih,CNES,group,2076926,28602
sih,CNES,group,2076934,1742
sih,CNES,group,2077078,12764
sih,CNES,group,2077388,57055
sih,CNES,group,2077396,17492
sih,CNES,group,2077426,7588
sih,CNES,group,2077434,14131
sih,CNES,group,2077450,10854
sih,CNES,group,2077477,23945
sih,CNES,group,2077485,7060
sih,CNES,group,2077493,21861
sih,CNES,group,2077523,15963
sih,CNES,group,2077558,2165
sih,CNES,group,2077566,7765
sih,CNES,group,2077574,13441
sih,CNES,group,2077582,4347
sih,CNES,group,2077620,34465
sih,CNES,group,2077639,25696
sih,CNES,group,2077647,3522
sih,CNES,group,2077671,24286
sih,CNES,group,2077701,31797
sih,CNES,group,2078015,371
sih,CNES,group,2078023,2820
sih,CNES,group,2078074,8014
sih,CNES,group,2078104,38610
sih,CNES,group,2078112,460
sih,CNES,group,2078139,2606
sih,CNES,group,2078155,9014
sih,CNES,group,2078198,18
sih,CNES,group,2078252,6767
sih,CNES,group,2078295,3859
sih,CNES,group,2078341,4633
sih,CNES,group,2078414,2049
sih,CNES,group,2078422,720
sih,CNES,group,2078449,1795
sih,CNES,group,2078473,10512
sih,CNES,group,2078503,7950
sih,CNES,group,2078511,1966
sih,CNES,group,2078538,3446
sih,CNES,group,2078546,1761
sih,CNES,group,2078562,39474
sih,CNES,group,2078775,27
sih,CNES,group,2078805,22
sih,CNES,group,2078848,6234
sih,CNES,group,2078902,2476
sih,CNES,group,2078937,19
sih,CNES,group,2079097,6577
sih,CNES,group,2079119,18626
sih,CNES,group,2079135,14047
sih,CNES,group,2079178,1855
sih,CNES,group,2079186,46586
sih,CNES,group,2079216,17
sih,CNES,group,2079224,637
sih,CNES,group,2079232,11296
sih,CNES,group,2079240,22963
sih,CNES,group,2079283,1521
sih,CNES,group,2079291,35
sih,CNES,group,2079313,2080
sih,CNES,group,2079348,1159
sih,CNES,group,2079356,385
sih,CNES,group,2079364,2077
sih,CNES,group,2079380,254
sih,CNES,group,2079399,974
sih,CNES,group,2079402,818
sih,CNES,group,2079410,1
