CNES,records
2462583,18203
2790661,18104
3005011,18100
2078171,18073
2748029,18033
2795655,18029
6108547,18017
2318628,17987
2613476,17951
2705737,17950
2332930,17848
2688603,17741
2402556,17728
2016141,17694
2798484,17694
2708566,17535
2223546,17519
2082187,17497
2079135,17488
2084171,17439
2485966,17407
2294923,17389
2232022,17383
3242587,17378
2450143,17338
5995280,17250
0013633,17188
2804034,17176
2078015,17149
2485680,17072
7073224,17006
2611295,16993
2639262,16966
2333112,16957
4042085,16942
2742047,16926
2318482,16919
2530236,16883
2253054,16865
2148293,16847
2638991,16804
2288907,16801
2480646,16797
2082101,16732
2223538,16719
2111659,16646
2384299,16623
2079607,16619
2783789,16587
2009250,16570
2507447,16544
2741989,16537
2621649,16506
2083604,16453
2111640,16451
7257406,16451
2241021,16425
2232103,16422
2517140,16379
2468972,16368
2018136,16350
2087111,16310
2527413,16278
2081377,16273
2707675,16238
2080699,16193
2315343,16149
2517949,16118
2195437,16093
2129469,15992
3018032,15966
2092611,15954
7958838,15922
2458705,15911
2099454,15907
2237822,15905
3668770,15884
2136945,15772
2151871,15732
4049020,15669
0018333,15647
6936024,15626
2527707,15590
2078732,15481
9069747,15469
2487756,15439
3625087,15420
2522411,15383
2215586,15318
2303892,15307
2079720,15227
2521431,15144
2799790,15108
2373009,15107
2756951,15079
2463016,15078
2799847,15069
2339161,15009
2709848,14996
2311763,14991
0017884,14976
2082721,14968
2280477,14943
7047428,14941
2195585,14854
2080028,14842
6943284,14835
3056724,14824
2517132,14816
2025760,14764
2084414,14748
2140217,14733
2733676,14730
2279525,14692
2096463,14660
5042488,14638
2467372,14619
3450198,14613
2333716,14598
2379341,14570
2118513,14545
6966594,14543
9297502,14533
2679663,14529
2297795,14515
2740435,14405
2232154,14382
2268922,14364
5860490,14352
2232057,14348
2078252,14331
2119528,14292
2372150,14275
2441675,14236
2678756,14204
6069134,14175
2691515,14165
2206595,14122
2361477,14102
2802023,14081
2087715,14059
2079593,14008
2271826,13996
0010480,13988
2764776,13949
3316300,13940
2079232,13903
2679639,13873
2793008,13868
2504901,13776
5712068,13721
7581467,13717
2244276,13715
2081695,13655
2161354,13651
2726726,13629
2470098,13627
2568373,13607
2770326,13587
2654024,13585
3213943,13574
2146525,13562
2025523,13527
3027805,13521
2086050,13513
2232162,13510
3038130,13506
2777649,13492
7711980,13465
2017199,13453
2411393,13406
2651610,13405
2339234,13404
2023709,13370
3330141,13368
2656957,13363
0000265,13324
0009709,13321
2301830,13245
7421710,13237
2777746,13182
2452820,13145
2154560,13143
2417189,13143
2077078,13083
2364816,13042
2145960,13006
2259907,12979
6563570,12948
2327945,12904
6402305,12883
5417139,12868
3046281,12839
2761203,12818
2126451,12789
2018012,12779
2086271,12779
2522101,12746
2252287,12733
2081083,12725
2019566,12703
2688433,12677
2765934,12659
2232995,12641
2016893,12611
2118629,12599
2323583,12597
2695251,12568
2097613,12555
2755149,12544
3511251,12530
2024691,12519
2078376,12511
2462729,12510
2278855,12490
2078155,12471
2495228,12468
2296241,12416
3050297,12407
3065634,12387
2718324,12374
2119420,12372
2825589,12363
5478898,12328
2208857,12300
2521792,12291
2760657,12280
6734014,12257
3130339,12256
2257548,12245
5833418,12245
2619938,12207
3003191,12205
2090961,12185
6779069,12161
2372207,12149
0000106,12137
2472139,12118
2209195,12068
2770512,12061
2254611,12058
7529384,12037
2241048,12027
2331098,11984
2020076,11916
2079887,11895
3014673,11881
2679647,11867
2808889,11840
5259789,11819
2421542,11805
2087618,11761
2328003,11668
2080001,11642
2767953,11622
2080753,11581
2697041,11581
2273373,11504
2206064,11479
2781859,11473
2105780,11450
2091801,11447
2077450,11428
2331861,11421
2266474,11417
2666731,11374
2058790,11343
2302101,11333
2080796,11322
2204622,11309
7044666,11297
2799839,11295
3559629,11270
7013981,11263
2400243,11255
2743469,11203
0010537,11191
