CNES,records
2306697,10973
2756951,10960
2450143,10958
2777746,10939
2084171,10938
2219654,10884
2077450,10853
4042085,10829
2339161,10743
2808889,10707
2084473,10617
2688689,10612
2428385,10610
2020076,10573
2517949,10541
2078473,10510
2204622,10506
2301830,10463
2799839,10448
2465469,10433
2755149,10423
2328003,10422
2450429,10422
2494299,10418
2089327,10405
2712032,10299
2740435,10292
2775999,10264
5366828,10248
2499363,10235
5129753,10233
2709848,10212
4014235,10209
2752700,10204
2154560,10198
2760924,10166
4049020,10139
2098369,10102
2409208,10093
2765934,10077
2706741,10058
2140217,10055
2707918,10038
2118629,10014
2297183,10012
2761203,10005
2665778,9957
2756749,9940
2527707,9928
2257548,9914
2328380,9908
2556847,9899
2520613,9888
2479907,9859
2288907,9837
2733676,9819
2301687,9790
2195437,9766
2770326,9750
2000121,9742
2785188,9733
5042488,9706
5878640,9705
2333228,9688
2439263,9682
6922902,9682
7013620,9680
6892256,9676
2441675,9641
2339196,9554
2161354,9536
2297795,9526
7360347,9520
6069134,9490
2676923,9483
2241021,9470
6490581,9433
2454696,9427
2100754,9418
2129469,9418
2459477,9403
2472139,9337
2411393,9336
6848710,9326
2666731,9319
2683210,9309
2777762,9289
2764776,9277
3210243,9275
2799758,9250
3559629,9245
2081377,9236
2711990,9226
2645122,9220
2252694,9206
5922216,9188
2280477,9181
0000094,9155
2292157,9136
2096463,9135
5390044,9122
2679663,9116
2143801,9109
2215586,9094
2421542,9057
2118661,9052
2707969,9030
2241048,9021
2209195,9019
2078155,9014
2195585,9008
2316757,8988
5307562,8980
8001448,8910
2024691,8908
2760657,8901
2726726,8880
2514710,8874
2535556,8863
2171945,8859
6569234,8845
2259907,8799
2400693,8796
2082888,8794
2092611,8794
6542638,8789
2702193,8787
2332299,8764
2261057,8735
2108992,8713
2010356,8684
2496046,8673
2140098,8656
2659417,8627
4001303,8603
2111624,8592
2726645,8589
2232154,8586
0004081,8581
2560771,8579
5349893,8577
2332930,8571
2777789,8560
2432048,8545
7232519,8513
2017016,8502
2081083,8463
2354551,8452
2273373,8422
2227762,8407
2386569,8396
2738309,8362
2465787,8357
2271826,8327
2257556,8254
2777797,8234
3774554,8188
2023709,8183
2698463,8138
2331861,8132
2206064,8091
2697688,8082
2372207,8081
2339234,8076
2568373,8067
2083272,8062
2078074,8014
2627183,7989
2082594,7986
2084228,7972
2078503,7950
2589516,7910
6095666,7898
2027186,7855
2395886,7851
2825589,7849
5223962,7849
2001500,7842
2138875,7836
2284634,7833
2390043,7833
2200902,7815
2758245,7814
2303892,7797
2603055,7787
2417189,7786
2348489,7782
7529384,7776
2576198,7767
2077566,7763
0011746,7736
2328046,7725
2338351,7708
2302101,7705
2521792,7690
2799855,7684
2105780,7683
2420015,7667
2602121,7643
2266474,7637
2117037,7624
0010537,7604
2789647,7601
2269880,7599
2077426,7588
2561425,7507
2232030,7498
2674327,7435
2248220,7423
2252287,7416
2248328,7403
2401231,7392
2793636,7379
2697289,7363
2208857,7362
2598205,7337
2204649,7324
2144530,7311
2270021,7307
2409275,7287
2638878,7258
7336578,7240
2085194,7225
2587335,7202
2254611,7194
2119471,7160
2139200,7154
2000865,7131
2375265,7106
2704900,7106
7557523,7078
2196972,7065
2298317,7062
2077485,7058
4028414,7050
0017574,7044
2710498,7044
2764814,7043
2427249,7042
2622467,7038
2696029,7023
2146525,6980
6451098,6955
2082381,6920
2400243,6897
2653494,6868
6804497,6868
2537028,6855
3667804,6841
2448521,6840
2081059,6835
2688433,6826
4026772,6824
2429438,6816
2601680,6801
2611309,6800
2705842,6799
0013846,6776
2078252,6767
2554798,6751
2459620,6738
2471345,6712
2330962,6702
2561433,6692
2384299,6687
2081253,6659
2088193,6641
4020197,6629
2006359,6617
2582449,6592
6998704,6579
2079097,6577
2491249,6577
2410486,6556
6782477,6544
2437651,6540
2726599,6531
2547821,6504
2134276,6469
2532549,6461
2098539,6454
2164620,6451
2462214,6438
2407868,6431
2135124,6423
2365154,6419
2200945,6412
2765640,6409
2705222,6393
2087219,6374
4055748,6336
2145960,6311
2730650,6300
2079615,6295
2221772,6274
6250564,6274
2615711,6247
2078848,6234
2092107,6223
2081970,6221
6968139,6216
2808609,6215
3302490,6099
6683134,6078
2437139,6075
2711184,6070
2387727,6057
3314766,6056
2412381,6041
2317397,6027
2601710,5998
2463784,5996
0013838,5990
2452952,5987
2024756,5970
2307154,5964
6553567,5957
2262274,5954
2752077,5946
2236370,5943
2232995,5940
2314819,5925
2496879,5920
2694530,5900
0010480,5896
6424341,5893
2246929,5881
2080923,5874
4028759,5870
2023474,5866
0010545,5850
2761041,5849
2248298,5831
2592460,5827
2205998,5804
2257815,5798
2097877,5787
2081261,5771
2564211,5756
2473046,5745
2082853,5744
2621592,5735
2101777,5709
2557118,5695
7088302,5674
2777770,5634
2454947,5626
2079895,5598
9336508,5567
7119232,5563
2665190,5562
2096196,5544
2016974,5542
2337576,5524
2521873,5507
2473577,5482
2498421,5469
2601729,5461
2302500,5453
2509369,5445
2277573,5442
2448637,5437
2312050,5430
5478898,5423
2273098,5418
2498804,5402
0025399,5399
2729385,5387
2533057,5381
2627418,5366
2748568,5354
2562871,5346
2263858,5307
2323915,5304
4069803,5295
2785382,5272
2532093,5244
6424236,5227
2142376,5223
2676192,5216
2139073,5213
2079925,5180
2691884,5170
2371588,5166
2296241,5154
2295415,5150
2312123,5148
6463045,5147
2408236,5134
2611236,5133
2562154,5129
2192020,5123
2484943,5117
2537192,5106
2081202,5105
2461277,5103
2403331,5095
6106005,5086
2707950,5082
2232073,5081
2168707,5070
2686961,5062
2646943,5047
2621614,5024
2398680,5012
5018110,5011
2558459,5008
2080672,5006
2699842,5006
2407566,5002
2082691,5000
2767953,4990
2534584,4977
2677431,4977
2495228,4963
2677563,4960
2083019,4946
2098911,4939
2292513,4928
2738287,4907
2460831,4895
2460254,4892
2080729,4885
2093324,4880
2331748,4872
2318865,4865
2127687,4855
2532190,4855
2664666,4855
2476487,4852
2083140,4850
2765659,4849
2592568,4845
6426190,4834
2014688,4828
2139049,4820
2163829,4806
2122650,4803
2742071,4801
2464454,4799
2016397,4793
2343746,4784
2377829,4779
2385880,4773
2329484,4769
5095808,4740
2086336,4727
2244357,4724
2310821,4718
2371243,4712
9131922,4711
2266733,4703
4006429,4702
2436310,4699
2292912,4695
2711966,4679
3294889,4662
2084058,4657
2324288,4644
2672197,4643
2455706,4632
2078341,4630
2292165,4630
2487616,4623
2082845,4616
2454904,4613
2349264,4608
2314002,4605
2800950,4592
2462184,4588
2655411,4585
2691485,4583
2013045,4579
2083175,4579
2531801,4575
2442116,4567
2211262,4560
2470748,4554
2183803,4546
2735970,4536
2081091,4534
2387581,4529
6871747,4521
2316005,4511
2462753,4511
2341204,4508
2615843,4500
2755130,4497
2082098,4479
2486199,4478
