,Arquivo,UF,Ano,Mês,Parto,Linhas,Colunas
369,AC_2008_01_cir_103_198.jay,AC,2008,1,cir,103,198
368,AC_2008_01_nat_546_198.jay,AC,2008,1,nat,546,198
361,AC_2008_02_cir_125_198.jay,AC,2008,2,cir,125,198
360,AC_2008_02_nat_607_198.jay,AC,2008,2,nat,607,198
367,AC_2008_03_cir_199_198.jay,AC,2008,3,cir,199,198
366,AC_2008_03_nat_706_198.jay,AC,2008,3,nat,706,198
357,AC_2008_04_cir_158_198.jay,AC,2008,4,cir,158,198
356,AC_2008_04_nat_643_198.jay,AC,2008,4,nat,643,198
371,AC_2008_05_cir_142_198.jay,AC,2008,5,cir,142,198
370,AC_2008_05_nat_651_198.jay,AC,2008,5,nat,651,198
359,AC_2008_06_cir_207_198.jay,AC,2008,6,cir,207,198
358,AC_2008_06_nat_1023_198.jay,AC,2008,6,nat,1023,198
354,AC_2008_07_cir_400_198.jay,AC,2008,7,cir,400,198
355,AC_2008_07_nat_909_198.jay,AC,2008,7,nat,909,198
364,AC_2008_08_cir_274_198.jay,AC,2008,8,cir,274,198
365,AC_2008_08_nat_788_198.jay,AC,2008,8,nat,788,198
350,AC_2008_09_cir_255_198.jay,AC,2008,9,cir,255,198
351,AC_2008_09_nat_741_198.jay,AC,2008,9,nat,741,198
353,AC_2008_10_cir_201_198.jay,AC,2008,10,cir,201,198
352,AC_2008_10_nat_823_198.jay,AC,2008,10,nat,823,198
373,AC_2008_11_cir_198_198.jay,AC,2008,11,cir,198,198
372,AC_2008_11_nat_701_198.jay,AC,2008,11,nat,701,198
362,AC_2008_12_cir_259_198.jay,AC,2008,12,cir,259,198
363,AC_2008_12_nat_816_198.jay,AC,2008,12,nat,816,198
414,AC_2009_01_cir_223_198.jay,AC,2009,1,cir,223,198
415,AC_2009_01_nat_812_198.jay,AC,2009,1,nat,812,198
406,AC_2009_02_cir_310_198.jay,AC,2009,2,cir,310,198
407,AC_2009_02_nat_820_198.jay,AC,2009,2,nat,820,198
413,AC_2009_03_cir_180_198.jay,AC,2009,3,cir,180,198
412,AC_2009_03_nat_653_198.jay,AC,2009,3,nat,653,198
403,AC_2009_04_cir_300_198.jay,AC,2009,4,cir,300,198
402,AC_2009_04_nat_926_198.jay,AC,2009,4,nat,926,198
416,AC_2009_05_cir_271_198.jay,AC,2009,5,cir,271,198
417,AC_2009_05_nat_796_198.jay,AC,2009,5,nat,796,198
405,AC_2009_06_cir_226_198.jay,AC,2009,6,cir,226,198
404,AC_2009_06_nat_772_198.jay,AC,2009,6,nat,772,198
400,AC_2009_07_cir_263_198.jay,AC,2009,7,cir,263,198
401,AC_2009_07_nat_730_198.jay,AC,2009,7,nat,730,198
411,AC_2009_08_cir_256_198.jay,AC,2009,8,cir,256,198
410,AC_2009_08_nat_698_198.jay,AC,2009,8,nat,698,198
399,AC_2009_10_cir_284_198.jay,AC,2009,10,cir,284,198
398,AC_2009_10_nat_729_198.jay,AC,2009,10,nat,729,198
419,AC_2009_11_cir_222_198.jay,AC,2009,11,cir,222,198
418,AC_2009_11_nat_599_198.jay,AC,2009,11,nat,599,198
408,AC_2009_12_cir_280_198.jay,AC,2009,12,cir,280,198
409,AC_2009_12_nat_625_198.jay,AC,2009,12,nat,625,198
549,AC_2010_01_cir_324_198.jay,AC,2010,1,cir,324,198
548,AC_2010_01_nat_611_198.jay,AC,2010,1,nat,611,198
540,AC_2010_02_cir_245_198.jay,AC,2010,2,cir,245,198
541,AC_2010_02_nat_565_198.jay,AC,2010,2,nat,565,198
546,AC_2010_03_cir_191_198.jay,AC,2010,3,cir,191,198
547,AC_2010_03_nat_628_198.jay,AC,2010,3,nat,628,198
536,AC_2010_04_cir_314_198.jay,AC,2010,4,cir,314,198
537,AC_2010_04_nat_675_198.jay,AC,2010,4,nat,675,198
551,AC_2010_05_cir_379_198.jay,AC,2010,5,cir,379,198
550,AC_2010_05_nat_773_198.jay,AC,2010,5,nat,773,198
538,AC_2010_06_cir_307_198.jay,AC,2010,6,cir,307,198
539,AC_2010_06_nat_682_198.jay,AC,2010,6,nat,682,198
534,AC_2010_07_cir_304_198.jay,AC,2010,7,cir,304,198
535,AC_2010_07_nat_669_198.jay,AC,2010,7,nat,669,198
544,AC_2010_08_cir_262_198.jay,AC,2010,8,cir,262,198
545,AC_2010_08_nat_608_198.jay,AC,2010,8,nat,608,198
530,AC_2010_09_cir_311_198.jay,AC,2010,9,cir,311,198
531,AC_2010_09_nat_659_198.jay,AC,2010,9,nat,659,198
532,AC_2010_10_cir_206_198.jay,AC,2010,10,cir,206,198
533,AC_2010_10_nat_613_198.jay,AC,2010,10,nat,613,198
553,AC_2010_11_cir_263_198.jay,AC,2010,11,cir,263,198
552,AC_2010_11_nat_760_198.jay,AC,2010,11,nat,760,198
542,AC_2010_12_cir_253_198.jay,AC,2010,12,cir,253,198
543,AC_2010_12_nat_555_198.jay,AC,2010,12,nat,555,198
463,AC_2011_01_cir_292_207.jay,AC,2011,1,cir,292,207
462,AC_2011_01_nat_761_207.jay,AC,2011,1,nat,761,207
454,AC_2011_02_cir_221_207.jay,AC,2011,2,cir,221,207
455,AC_2011_02_nat_608_207.jay,AC,2011,2,nat,608,207
460,AC_2011_03_cir_314_207.jay,AC,2011,3,cir,314,207
461,AC_2011_03_nat_729_207.jay,AC,2011,3,nat,729,207
451,AC_2011_04_cir_280_207.jay,AC,2011,4,cir,280,207
450,AC_2011_04_nat_785_207.jay,AC,2011,4,nat,785,207
464,AC_2011_05_cir_241_207.jay,AC,2011,5,cir,241,207
465,AC_2011_05_nat_615_207.jay,AC,2011,5,nat,615,207
452,AC_2011_06_cir_274_207.jay,AC,2011,6,cir,274,207
453,AC_2011_06_nat_776_207.jay,AC,2011,6,nat,776,207
448,AC_2011_07_cir_311_207.jay,AC,2011,7,cir,311,207
449,AC_2011_07_nat_708_207.jay,AC,2011,7,nat,708,207
458,AC_2011_08_cir_204_207.jay,AC,2011,8,cir,204,207
459,AC_2011_08_nat_676_207.jay,AC,2011,8,nat,676,207
444,AC_2011_09_cir_227_207.jay,AC,2011,9,cir,227,207
445,AC_2011_09_nat_670_207.jay,AC,2011,9,nat,670,207
446,AC_2011_10_cir_250_207.jay,AC,2011,10,cir,250,207
447,AC_2011_10_nat_774_207.jay,AC,2011,10,nat,774,207
467,AC_2011_11_cir_255_207.jay,AC,2011,11,cir,255,207
466,AC_2011_11_nat_764_207.jay,AC,2011,11,nat,764,207
456,AC_2011_12_cir_236_207.jay,AC,2011,12,cir,236,207
457,AC_2011_12_nat_656_207.jay,AC,2011,12,nat,656,207
644,AC_2012_01_cir_193_207.jay,AC,2012,1,cir,193,207
645,AC_2012_01_nat_546_207.jay,AC,2012,1,nat,546,207
636,AC_2012_02_cir_285_207.jay,AC,2012,2,cir,285,207
637,AC_2012_02_nat_627_207.jay,AC,2012,2,nat,627,207
642,AC_2012_03_cir_214_207.jay,AC,2012,3,cir,214,207
643,AC_2012_03_nat_611_207.jay,AC,2012,3,nat,611,207
633,AC_2012_04_cir_223_207.jay,AC,2012,4,cir,223,207
632,AC_2012_04_nat_596_207.jay,AC,2012,4,nat,596,207
646,AC_2012_05_cir_147_207.jay,AC,2012,5,cir,147,207
647,AC_2012_05_nat_642_207.jay,AC,2012,5,nat,642,207
635,AC_2012_06_cir_210_207.jay,AC,2012,6,cir,210,207
634,AC_2012_06_nat_630_207.jay,AC,2012,6,nat,630,207
630,AC_2012_07_cir_234_207.jay,AC,2012,7,cir,234,207
631,AC_2012_07_nat_505_207.jay,AC,2012,7,nat,505,207
640,AC_2012_08_cir_258_207.jay,AC,2012,8,cir,258,207
641,AC_2012_08_nat_592_207.jay,AC,2012,8,nat,592,207
627,AC_2012_09_cir_211_207.jay,AC,2012,9,cir,211,207
626,AC_2012_09_nat_561_207.jay,AC,2012,9,nat,561,207
628,AC_2012_10_cir_180_207.jay,AC,2012,10,cir,180,207
629,AC_2012_10_nat_484_207.jay,AC,2012,10,nat,484,207
648,AC_2012_11_cir_163_207.jay,AC,2012,11,cir,163,207
649,AC_2012_11_nat_585_207.jay,AC,2012,11,nat,585,207
638,AC_2012_12_cir_280_207.jay,AC,2012,12,cir,280,207
639,AC_2012_12_nat_594_207.jay,AC,2012,12,nat,594,207
345,AC_2013_01_cir_214_210.jay,AC,2013,1,cir,214,210
344,AC_2013_01_nat_560_210.jay,AC,2013,1,nat,560,210
336,AC_2013_02_cir_250_210.jay,AC,2013,2,cir,250,210
337,AC_2013_02_nat_608_210.jay,AC,2013,2,nat,608,210
342,AC_2013_03_cir_245_210.jay,AC,2013,3,cir,245,210
343,AC_2013_03_nat_599_210.jay,AC,2013,3,nat,599,210
333,AC_2013_04_cir_267_210.jay,AC,2013,4,cir,267,210
332,AC_2013_04_nat_666_210.jay,AC,2013,4,nat,666,210
347,AC_2013_05_cir_312_210.jay,AC,2013,5,cir,312,210
346,AC_2013_05_nat_712_210.jay,AC,2013,5,nat,712,210
334,AC_2013_06_cir_237_210.jay,AC,2013,6,cir,237,210
335,AC_2013_06_nat_628_210.jay,AC,2013,6,nat,628,210
331,AC_2013_07_cir_233_210.jay,AC,2013,7,cir,233,210
330,AC_2013_07_nat_552_210.jay,AC,2013,7,nat,552,210
341,AC_2013_08_cir_305_210.jay,AC,2013,8,cir,305,210
340,AC_2013_08_nat_637_210.jay,AC,2013,8,nat,637,210
326,AC_2013_09_cir_270_210.jay,AC,2013,9,cir,270,210
327,AC_2013_09_nat_663_210.jay,AC,2013,9,nat,663,210
328,AC_2013_10_cir_196_210.jay,AC,2013,10,cir,196,210
329,AC_2013_10_nat_657_210.jay,AC,2013,10,nat,657,210
349,AC_2013_11_cir_268_210.jay,AC,2013,11,cir,268,210
348,AC_2013_11_nat_588_210.jay,AC,2013,11,nat,588,210
339,AC_2013_12_cir_287_210.jay,AC,2013,12,cir,287,210
338,AC_2013_12_nat_651_210.jay,AC,2013,12,nat,651,210
621,AC_2014_01_cir_337_237.jay,AC,2014,1,cir,337,237
620,AC_2014_01_nat_836_237.jay,AC,2014,1,nat,836,237
612,AC_2014_02_cir_244_237.jay,AC,2014,2,cir,244,237
613,AC_2014_02_nat_671_237.jay,AC,2014,2,nat,671,237
619,AC_2014_03_cir_290_237.jay,AC,2014,3,cir,290,237
618,AC_2014_03_nat_699_237.jay,AC,2014,3,nat,699,237
608,AC_2014_04_cir_254_237.jay,AC,2014,4,cir,254,237
609,AC_2014_04_nat_628_237.jay,AC,2014,4,nat,628,237
622,AC_2014_05_cir_331_237.jay,AC,2014,5,cir,331,237
623,AC_2014_05_nat_785_237.jay,AC,2014,5,nat,785,237
611,AC_2014_06_cir_329_237.jay,AC,2014,6,cir,329,237
610,AC_2014_06_nat_737_237.jay,AC,2014,6,nat,737,237
607,AC_2014_07_cir_269_237.jay,AC,2014,7,cir,269,237
606,AC_2014_07_nat_780_237.jay,AC,2014,7,nat,780,237
617,AC_2014_08_cir_285_237.jay,AC,2014,8,cir,285,237
616,AC_2014_08_nat_621_237.jay,AC,2014,8,nat,621,237
602,AC_2014_09_cir_280_237.jay,AC,2014,9,cir,280,237
603,AC_2014_09_nat_656_237.jay,AC,2014,9,nat,656,237
605,AC_2014_10_cir_265_237.jay,AC,2014,10,cir,265,237
604,AC_2014_10_nat_645_237.jay,AC,2014,10,nat,645,237
624,AC_2014_11_cir_252_237.jay,AC,2014,11,cir,252,237
625,AC_2014_11_nat_629_237.jay,AC,2014,11,nat,629,237
615,AC_2014_12_cir_227_237.jay,AC,2014,12,cir,227,237
614,AC_2014_12_nat_529_237.jay,AC,2014,12,nat,529,237
439,AC_2015_01_cir_277_237.jay,AC,2015,1,cir,277,237
438,AC_2015_01_nat_657_237.jay,AC,2015,1,nat,657,237
431,AC_2015_02_cir_218_237.jay,AC,2015,2,cir,218,237
430,AC_2015_02_nat_649_237.jay,AC,2015,2,nat,649,237
436,AC_2015_03_cir_271_237.jay,AC,2015,3,cir,271,237
437,AC_2015_03_nat_682_237.jay,AC,2015,3,nat,682,237
427,AC_2015_04_cir_258_237.jay,AC,2015,4,cir,258,237
426,AC_2015_04_nat_668_237.jay,AC,2015,4,nat,668,237
441,AC_2015_05_cir_276_237.jay,AC,2015,5,cir,276,237
440,AC_2015_05_nat_720_237.jay,AC,2015,5,nat,720,237
429,AC_2015_06_cir_272_237.jay,AC,2015,6,cir,272,237
428,AC_2015_06_nat_650_237.jay,AC,2015,6,nat,650,237
424,AC_2015_07_cir_260_237.jay,AC,2015,7,cir,260,237
425,AC_2015_07_nat_649_237.jay,AC,2015,7,nat,649,237
434,AC_2015_08_cir_276_237.jay,AC,2015,8,cir,276,237
435,AC_2015_08_nat_694_237.jay,AC,2015,8,nat,694,237
420,AC_2015_09_cir_252_237.jay,AC,2015,9,cir,252,237
421,AC_2015_09_nat_667_237.jay,AC,2015,9,nat,667,237
423,AC_2015_10_cir_253_237.jay,AC,2015,10,cir,253,237
422,AC_2015_10_nat_654_237.jay,AC,2015,10,nat,654,237
443,AC_2015_11_cir_263_237.jay,AC,2015,11,cir,263,237
442,AC_2015_11_nat_760_237.jay,AC,2015,11,nat,760,237
432,AC_2015_12_cir_209_237.jay,AC,2015,12,cir,209,237
433,AC_2015_12_nat_695_237.jay,AC,2015,12,nat,695,237
393,AC_2016_01_cir_313_237.jay,AC,2016,1,cir,313,237
392,AC_2016_01_nat_577_237.jay,AC,2016,1,nat,577,237
384,AC_2016_02_cir_286_237.jay,AC,2016,2,cir,286,237
385,AC_2016_02_nat_812_237.jay,AC,2016,2,nat,812,237
390,AC_2016_03_cir_242_237.jay,AC,2016,3,cir,242,237
391,AC_2016_03_nat_541_237.jay,AC,2016,3,nat,541,237
381,AC_2016_04_cir_258_237.jay,AC,2016,4,cir,258,237
380,AC_2016_04_nat_528_237.jay,AC,2016,4,nat,528,237
395,AC_2016_05_cir_313_237.jay,AC,2016,5,cir,313,237
394,AC_2016_05_nat_610_237.jay,AC,2016,5,nat,610,237
383,AC_2016_06_cir_283_237.jay,AC,2016,6,cir,283,237
382,AC_2016_06_nat_769_237.jay,AC,2016,6,nat,769,237
378,AC_2016_07_cir_317_237.jay,AC,2016,7,cir,317,237
379,AC_2016_07_nat_542_237.jay,AC,2016,7,nat,542,237
388,AC_2016_08_cir_286_237.jay,AC,2016,8,cir,286,237
389,AC_2016_08_nat_689_237.jay,AC,2016,8,nat,689,237
374,AC_2016_09_cir_241_237.jay,AC,2016,9,cir,241,237
375,AC_2016_09_nat_568_237.jay,AC,2016,9,nat,568,237
377,AC_2016_10_cir_256_237.jay,AC,2016,10,cir,256,237
376,AC_2016_10_nat_621_237.jay,AC,2016,10,nat,621,237
397,AC_2016_11_cir_232_237.jay,AC,2016,11,cir,232,237
396,AC_2016_11_nat_539_237.jay,AC,2016,11,nat,539,237
386,AC_2016_12_cir_231_237.jay,AC,2016,12,cir,231,237
387,AC_2016_12_nat_565_237.jay,AC,2016,12,nat,565,237
597,AC_2017_01_cir_286_237.jay,AC,2017,1,cir,286,237
596,AC_2017_01_nat_542_237.jay,AC,2017,1,nat,542,237
589,AC_2017_02_cir_292_237.jay,AC,2017,2,cir,292,237
588,AC_2017_02_nat_676_237.jay,AC,2017,2,nat,676,237
594,AC_2017_03_cir_303_237.jay,AC,2017,3,cir,303,237
595,AC_2017_03_nat_595_237.jay,AC,2017,3,nat,595,237
585,AC_2017_04_cir_279_237.jay,AC,2017,4,cir,279,237
584,AC_2017_04_nat_682_237.jay,AC,2017,4,nat,682,237
598,AC_2017_05_cir_286_237.jay,AC,2017,5,cir,286,237
599,AC_2017_05_nat_613_237.jay,AC,2017,5,nat,613,237
586,AC_2017_06_cir_280_237.jay,AC,2017,6,cir,280,237
587,AC_2017_06_nat_527_237.jay,AC,2017,6,nat,527,237
583,AC_2017_07_cir_263_237.jay,AC,2017,7,cir,263,237
582,AC_2017_07_nat_557_237.jay,AC,2017,7,nat,557,237
593,AC_2017_08_cir_280_237.jay,AC,2017,8,cir,280,237
592,AC_2017_08_nat_605_237.jay,AC,2017,8,nat,605,237
579,AC_2017_09_cir_276_237.jay,AC,2017,9,cir,276,237
578,AC_2017_09_nat_651_237.jay,AC,2017,9,nat,651,237
581,AC_2017_10_cir_309_237.jay,AC,2017,10,cir,309,237
580,AC_2017_10_nat_810_237.jay,AC,2017,10,nat,810,237
601,AC_2017_11_cir_280_237.jay,AC,2017,11,cir,280,237
600,AC_2017_11_nat_812_237.jay,AC,2017,11,nat,812,237
591,AC_2017_12_cir_211_237.jay,AC,2017,12,cir,211,237
590,AC_2017_12_nat_561_237.jay,AC,2017,12,nat,561,237
510,AC_2018_01_cir_373_237.jay,AC,2018,1,cir,373,237
511,AC_2018_01_nat_865_237.jay,AC,2018,1,nat,865,237
502,AC_2018_02_cir_254_237.jay,AC,2018,2,cir,254,237
503,AC_2018_02_nat_534_237.jay,AC,2018,2,nat,534,237
509,AC_2018_03_cir_269_237.jay,AC,2018,3,cir,269,237
508,AC_2018_03_nat_462_237.jay,AC,2018,3,nat,462,237
499,AC_2018_04_cir_336_237.jay,AC,2018,4,cir,336,237
498,AC_2018_04_nat_504_237.jay,AC,2018,4,nat,504,237
512,AC_2018_05_cir_261_237.jay,AC,2018,5,cir,261,237
513,AC_2018_05_nat_399_237.jay,AC,2018,5,nat,399,237
500,AC_2018_06_cir_270_237.jay,AC,2018,6,cir,270,237
501,AC_2018_06_nat_420_237.jay,AC,2018,6,nat,420,237
497,AC_2018_07_cir_245_237.jay,AC,2018,7,cir,245,237
496,AC_2018_07_nat_368_237.jay,AC,2018,7,nat,368,237
506,AC_2018_08_cir_293_237.jay,AC,2018,8,cir,293,237
507,AC_2018_08_nat_402_237.jay,AC,2018,8,nat,402,237
493,AC_2018_09_cir_270_237.jay,AC,2018,9,cir,270,237
492,AC_2018_09_nat_337_237.jay,AC,2018,9,nat,337,237
495,AC_2018_10_cir_266_237.jay,AC,2018,10,cir,266,237
494,AC_2018_10_nat_360_237.jay,AC,2018,10,nat,360,237
514,AC_2018_11_cir_195_237.jay,AC,2018,11,cir,195,237
515,AC_2018_11_nat_295_237.jay,AC,2018,11,nat,295,237
504,AC_2018_12_cir_207_237.jay,AC,2018,12,cir,207,237
505,AC_2018_12_nat_278_237.jay,AC,2018,12,nat,278,237
487,AC_2019_01_cir_235_237.jay,AC,2019,1,cir,235,237
486,AC_2019_01_nat_223_237.jay,AC,2019,1,nat,223,237
479,AC_2019_02_cir_213_237.jay,AC,2019,2,cir,213,237
478,AC_2019_02_nat_326_237.jay,AC,2019,2,nat,326,237
485,AC_2019_03_cir_325_237.jay,AC,2019,3,cir,325,237
484,AC_2019_03_nat_385_237.jay,AC,2019,3,nat,385,237
475,AC_2019_04_cir_298_237.jay,AC,2019,4,cir,298,237
474,AC_2019_04_nat_303_237.jay,AC,2019,4,nat,303,237
489,AC_2019_05_cir_297_237.jay,AC,2019,5,cir,297,237
488,AC_2019_05_nat_323_237.jay,AC,2019,5,nat,323,237
476,AC_2019_06_cir_410_237.jay,AC,2019,6,cir,410,237
477,AC_2019_06_nat_455_237.jay,AC,2019,6,nat,455,237
473,AC_2019_07_cir_452_237.jay,AC,2019,7,cir,452,237
472,AC_2019_07_nat_568_237.jay,AC,2019,7,nat,568,237
483,AC_2019_08_cir_442_237.jay,AC,2019,8,cir,442,237
482,AC_2019_08_nat_499_237.jay,AC,2019,8,nat,499,237
469,AC_2019_09_cir_383_237.jay,AC,2019,9,cir,383,237
468,AC_2019_09_nat_362_237.jay,AC,2019,9,nat,362,237
470,AC_2019_10_cir_374_237.jay,AC,2019,10,cir,374,237
471,AC_2019_10_nat_409_237.jay,AC,2019,10,nat,409,237
490,AC_2019_11_cir_277_237.jay,AC,2019,11,cir,277,237
491,AC_2019_11_nat_315_237.jay,AC,2019,11,nat,315,237
480,AC_2019_12_cir_304_237.jay,AC,2019,12,cir,304,237
481,AC_2019_12_nat_309_237.jay,AC,2019,12,nat,309,237
573,AC_2020_01_cir_244_221.jay,AC,2020,1,cir,244,221
572,AC_2020_01_nat_273_221.jay,AC,2020,1,nat,273,221
564,AC_2020_02_cir_197_221.jay,AC,2020,2,cir,197,221
565,AC_2020_02_nat_307_221.jay,AC,2020,2,nat,307,221
570,AC_2020_03_cir_262_221.jay,AC,2020,3,cir,262,221
571,AC_2020_03_nat_323_221.jay,AC,2020,3,nat,323,221
561,AC_2020_04_cir_287_221.jay,AC,2020,4,cir,287,221
560,AC_2020_04_nat_332_221.jay,AC,2020,4,nat,332,221
575,AC_2020_05_cir_386_221.jay,AC,2020,5,cir,386,221
574,AC_2020_05_nat_359_221.jay,AC,2020,5,nat,359,221
563,AC_2020_06_cir_415_221.jay,AC,2020,6,cir,415,221
562,AC_2020_06_nat_366_221.jay,AC,2020,6,nat,366,221
558,AC_2020_07_cir_346_221.jay,AC,2020,7,cir,346,221
559,AC_2020_07_nat_391_221.jay,AC,2020,7,nat,391,221
569,AC_2020_08_cir_482_221.jay,AC,2020,8,cir,482,221
568,AC_2020_08_nat_486_221.jay,AC,2020,8,nat,486,221
554,AC_2020_09_cir_380_221.jay,AC,2020,9,cir,380,221
555,AC_2020_09_nat_429_221.jay,AC,2020,9,nat,429,221
556,AC_2020_10_cir_407_221.jay,AC,2020,10,cir,407,221
557,AC_2020_10_nat_381_221.jay,AC,2020,10,nat,381,221
577,AC_2020_11_cir_330_221.jay,AC,2020,11,cir,330,221
576,AC_2020_11_nat_346_221.jay,AC,2020,11,nat,346,221
567,AC_2020_12_cir_267_221.jay,AC,2020,12,cir,267,221
566,AC_2020_12_nat_252_221.jay,AC,2020,12,nat,252,221
526,AC_2021_01_cir_395_221.jay,AC,2021,1,cir,395,221
527,AC_2021_01_nat_362_221.jay,AC,2021,1,nat,362,221
522,AC_2021_02_cir_295_221.jay,AC,2021,2,cir,295,221
523,AC_2021_02_nat_274_221.jay,AC,2021,2,nat,274,221
525,AC_2021_03_cir_326_221.jay,AC,2021,3,cir,326,221
524,AC_2021_03_nat_392_221.jay,AC,2021,3,nat,392,221
518,AC_2021_04_cir_338_221.jay,AC,2021,4,cir,338,221
519,AC_2021_04_nat_329_221.jay,AC,2021,4,nat,329,221
528,AC_2021_05_cir_388_221.jay,AC,2021,5,cir,388,221
529,AC_2021_05_nat_436_221.jay,AC,2021,5,nat,436,221
521,AC_2021_06_cir_364_221.jay,AC,2021,6,cir,364,221
520,AC_2021_06_nat_367_221.jay,AC,2021,6,nat,367,221
517,AC_2021_07_cir_365_221.jay,AC,2021,7,cir,365,221
516,AC_2021_07_nat_355_221.jay,AC,2021,7,nat,355,221
5256,AL_2008_01_cir_1139_198.jay,AL,2008,1,cir,1139,198
5257,AL_2008_01_nat_2027_198.jay,AL,2008,1,nat,2027,198
5248,AL_2008_02_cir_1288_198.jay,AL,2008,2,cir,1288,198
5249,AL_2008_02_nat_2427_198.jay,AL,2008,2,nat,2427,198
5255,AL_2008_03_cir_1250_198.jay,AL,2008,3,cir,1250,198
5254,AL_2008_03_nat_2284_198.jay,AL,2008,3,nat,2284,198
5245,AL_2008_04_cir_1428_198.jay,AL,2008,4,cir,1428,198
5244,AL_2008_04_nat_2681_198.jay,AL,2008,4,nat,2681,198
5258,AL_2008_05_cir_1350_198.jay,AL,2008,5,cir,1350,198
5259,AL_2008_05_nat_2650_198.jay,AL,2008,5,nat,2650,198
5247,AL_2008_06_cir_1324_198.jay,AL,2008,6,cir,1324,198
5246,AL_2008_06_nat_2586_198.jay,AL,2008,6,nat,2586,198
5242,AL_2008_07_cir_1395_198.jay,AL,2008,7,cir,1395,198
5243,AL_2008_07_nat_2607_198.jay,AL,2008,7,nat,2607,198
5252,AL_2008_08_cir_1410_198.jay,AL,2008,8,cir,1410,198
5253,AL_2008_08_nat_2420_198.jay,AL,2008,8,nat,2420,198
5239,AL_2008_09_cir_1254_198.jay,AL,2008,9,cir,1254,198
5238,AL_2008_09_nat_2270_198.jay,AL,2008,9,nat,2270,198
5240,AL_2008_10_cir_1718_198.jay,AL,2008,10,cir,1718,198
5241,AL_2008_10_nat_2617_198.jay,AL,2008,10,nat,2617,198
5260,AL_2008_11_cir_1364_198.jay,AL,2008,11,cir,1364,198
5261,AL_2008_11_nat_2248_198.jay,AL,2008,11,nat,2248,198
5251,AL_2008_12_cir_1476_198.jay,AL,2008,12,cir,1476,198
5250,AL_2008_12_nat_2227_198.jay,AL,2008,12,nat,2227,198
5304,AL_2009_01_cir_1297_198.jay,AL,2009,1,cir,1297,198
5305,AL_2009_01_nat_2325_198.jay,AL,2009,1,nat,2325,198
5296,AL_2009_02_cir_1308_198.jay,AL,2009,2,cir,1308,198
5297,AL_2009_02_nat_2045_198.jay,AL,2009,2,nat,2045,198
5303,AL_2009_03_cir_1400_198.jay,AL,2009,3,cir,1400,198
5302,AL_2009_03_nat_2276_198.jay,AL,2009,3,nat,2276,198
5292,AL_2009_04_cir_1554_198.jay,AL,2009,4,cir,1554,198
5293,AL_2009_04_nat_2492_198.jay,AL,2009,4,nat,2492,198
5306,AL_2009_05_cir_1667_198.jay,AL,2009,5,cir,1667,198
5307,AL_2009_05_nat_2422_198.jay,AL,2009,5,nat,2422,198
5295,AL_2009_06_cir_1422_198.jay,AL,2009,6,cir,1422,198
5294,AL_2009_06_nat_2332_198.jay,AL,2009,6,nat,2332,198
5291,AL_2009_07_cir_1443_198.jay,AL,2009,7,cir,1443,198
5290,AL_2009_07_nat_2099_198.jay,AL,2009,7,nat,2099,198
5301,AL_2009_08_cir_1461_198.jay,AL,2009,8,cir,1461,198
5300,AL_2009_08_nat_1802_198.jay,AL,2009,8,nat,1802,198
5287,AL_2009_09_cir_1769_198.jay,AL,2009,9,cir,1769,198
5286,AL_2009_09_nat_2191_198.jay,AL,2009,9,nat,2191,198
5288,AL_2009_10_cir_1573_198.jay,AL,2009,10,cir,1573,198
5289,AL_2009_10_nat_2076_198.jay,AL,2009,10,nat,2076,198
5308,AL_2009_11_cir_1485_198.jay,AL,2009,11,cir,1485,198
5309,AL_2009_11_nat_1797_198.jay,AL,2009,11,nat,1797,198
5298,AL_2009_12_cir_1698_198.jay,AL,2009,12,cir,1698,198
5299,AL_2009_12_nat_1906_198.jay,AL,2009,12,nat,1906,198
5439,AL_2010_01_cir_1474_198.jay,AL,2010,1,cir,1474,198
5438,AL_2010_01_nat_1897_198.jay,AL,2010,1,nat,1897,198
5431,AL_2010_02_cir_1562_198.jay,AL,2010,2,cir,1562,198
5430,AL_2010_02_nat_1729_198.jay,AL,2010,2,nat,1729,198
5436,AL_2010_03_cir_1723_198.jay,AL,2010,3,cir,1723,198
5437,AL_2010_03_nat_1867_198.jay,AL,2010,3,nat,1867,198
5426,AL_2010_04_cir_1788_198.jay,AL,2010,4,cir,1788,198
5427,AL_2010_04_nat_2050_198.jay,AL,2010,4,nat,2050,198
5440,AL_2010_05_cir_1767_198.jay,AL,2010,5,cir,1767,198
5441,AL_2010_05_nat_1869_198.jay,AL,2010,5,nat,1869,198
5428,AL_2010_06_cir_1880_198.jay,AL,2010,6,cir,1880,198
5429,AL_2010_06_nat_1986_198.jay,AL,2010,6,nat,1986,198
5424,AL_2010_07_cir_1766_198.jay,AL,2010,7,cir,1766,198
5425,AL_2010_07_nat_1945_198.jay,AL,2010,7,nat,1945,198
5434,AL_2010_08_cir_1636_198.jay,AL,2010,8,cir,1636,198
5435,AL_2010_08_nat_1890_198.jay,AL,2010,8,nat,1890,198
5420,AL_2010_09_cir_1781_198.jay,AL,2010,9,cir,1781,198
5421,AL_2010_09_nat_1951_198.jay,AL,2010,9,nat,1951,198
5423,AL_2010_10_cir_1670_198.jay,AL,2010,10,cir,1670,198
5422,AL_2010_10_nat_1778_198.jay,AL,2010,10,nat,1778,198
5442,AL_2010_11_cir_1662_198.jay,AL,2010,11,cir,1662,198
